,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 38,Unnamed: 39,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Unnamed: 27,Unnamed: 28,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Unnamed: 33,Unnamed: 34,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Unnamed: 26,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Unnamed: 32
0,1,Max Aarons,ENG,DF,Bournemouth,23,2000,4,4,344,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,3,13,9,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,1,0,0.0,0.26,0.0,0.0,,23.9,0,0.02,0.0,0.0,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,136,178,76.4,2248,817,70,80,87.5,52,68,76.5,11,17,64.7,0.2,-0.1,2,7,5,2,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,8,2.09,5,1,0,2,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/774cf58b/Max-Aarons,11,7,8,3,0,10,71.4,4,6,2,0,11,7,0,217,13,0,217,5,41.7,3,25.0,98,0,3,0,111,https://fbref.com/en/players/774cf58b/Max-Aarons
1,2,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,20,2002,4,3,273,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,7,13,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2,Matches,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,1,1,100.0,0.33,0.33,0.0,0.0,15.3,0,0.27,-0.3,-0.3,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,33,45,73.3,514,109,19,22,86.4,13,16,81.3,1,1,100.0,0.3,-0.3,2,1,5,0,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,4,1.32,4,0,0,0,0,1,0.33,1,0,0,0,0,0,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,2,1,0,1,1,0,0.0,4,2,2,1,3,0,0,74,1,8,74,3,15.8,15,78.9,49,3,7,4,45,https://fbref.com/en/players/77816c91/Benie-Adama-Traore
2,3,Tosin Adarabioyo,ENG,DF,Fulham,25,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,0,0,0,0,0,0,,0,1,0,0,0,4,0,5,5,0,5,0,,0,,0,0,0,0,0,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo
3,4,Elijah Adebayo,ENG,FW,Luton Town,25,1998,3,3,202,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,5,12,0.0,0.0,0.0,0.0,0.0,0.18,0.05,0.22,0.18,0.22,Matches,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,3,0,0.0,1.34,0.0,0.0,,7.7,0,0.14,-0.4,-0.4,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,24,31,77.4,364,99,13,15,86.7,10,14,71.4,1,1,100.0,0.1,-0.1,3,1,1,0,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,3,1.34,2,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0,0,0,0,0,0,,0,1,1,1,1,5,0,58,5,7,58,3,30.0,7,70.0,31,1,5,4,37,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo
4,5,Simon Adingra,CIV,"FW,MF",Brighton,21,2002,3,0,38,0.4,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.4,2,0,5,2.37,0.0,2.37,2.37,2.37,0.84,0.17,1.0,0.84,1.0,Matches,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,2,1,50.0,4.74,2.37,0.5,1.0,8.0,0,0.18,0.6,0.6,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,17,21,81.0,209,39,15,17,88.2,2,3,66.7,0,0,,0.0,-0.1,1,0,0,0,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,1,2.37,1,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/4dcec659/Simon-Adingra,3,2,0,1,2,3,100.0,0,1,1,0,3,0,0,31,1,7,31,1,25.0,3,75.0,19,3,1,0,19,https://fbref.com/en/players/4dcec659/Simon-Adingra
5,6,Nayef Aguerd,MAR,DF,West Ham,27,1996,3,3,246,2.7,1,0,1,1,0,0,2,1,0.1,0.1,0.0,0.2,1,8,0,0.37,0.0,0.37,0.37,0.37,0.05,0.01,0.06,0.05,0.06,Matches,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,1,1,100.0,0.37,0.37,1.0,1.0,6.4,0,0.13,0.9,0.9,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,106,130,81.5,2193,930,37,39,94.9,51,56,91.1,16,30,53.3,0.0,0.0,1,7,0,0,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,2,0.73,2,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,5,1,4,1,0,5,83.3,1,3,2,5,10,15,1,162,23,1,162,0,,0,,85,0,2,1,85,https://fbref.com/en/players/288e1e13/Nayef-Aguerd
6,7,Naouirou Ahamada,FRA,"FW,MF",Crystal Palace,21,2002,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,20,25,80.0,293,90,10,11,90.9,10,11,90.9,0,0,,0.0,0.0,0,1,0,0,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,1,2.43,1,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,2,2,1,1,0,2,66.7,1,0,0,0,2,0,0,26,0,0,26,1,100.0,0,0.0,19,0,0,0,20,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada
7,8,Anel Ahmedhodzic,BIH,DF,Sheffield Utd,24,1999,4,4,360,4.0,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,2,5,4,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,5,0,0.0,1.25,0.0,0.0,,16.4,0,0.1,-0.5,-0.5,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,101,142,71.1,1450,548,64,80,80.0,26,34,76.5,8,22,36.4,0.0,0.0,0,6,0,0,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,3,0.75,2,0,0,0,0,1,0.25,0,0,0,1,0,0,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,8,6,6,0,2,6,60.0,4,10,4,6,14,21,0,199,28,4,199,2,50.0,1,25.0,82,1,0,4,92,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic
8,9,Ola Aina,NGA,"DF,MF",Nott'ham Forest,26,1996,3,3,233,2.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,1,0,0.0,0.39,0.0,0.0,,29.4,0,0.02,0.0,0.0,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,36,60,60.0,680,357,16,24,66.7,14,19,73.7,6,14,42.9,0.0,0.0,0,1,0,0,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,3,1.16,0,1,1,1,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/246d153b/Ola-Aina,7,6,6,1,0,4,100.0,0,2,1,2,9,7,0,88,11,0,88,3,37.5,3,37.5,35,0,1,3,39,https://fbref.com/en/players/246d153b/Ola-Aina
9,10,Rayan Aït Nouri,ALG,"DF,MF",Wolves,22,2001,4,3,287,3.2,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,16,11,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,1,0,0.0,0.31,0.0,0.0,,11.3,0,0.32,-0.3,-0.3,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,128,158,81.0,1742,630,88,97,90.7,28,33,84.8,8,15,53.3,0.1,-0.1,3,9,3,0,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,7,2.19,5,1,0,1,0,1,0.31,0,0,0,0,1,0,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,12,7,6,4,2,5,71.4,2,4,2,1,13,5,0,190,12,4,190,5,41.7,6,50.0,95,1,3,9,117,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri
10,11,Kristoffer Ajer,NOR,DF,Brentford,25,1998,3,1,95,1.1,0,1,1,0,0,0,0,0,0.3,0.3,1.0,1.3,2,5,4,0.0,0.95,0.95,0.0,0.95,0.29,0.91,1.2,0.29,1.2,Matches,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,2,1,50.0,1.89,0.95,0.0,0.0,8.6,0,0.15,-0.3,-0.3,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,37,45,82.2,612,259,22,23,95.7,12,15,80.0,3,6,50.0,0.7,0.0,1,4,0,0,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,3,2.84,2,0,0,0,0,1,0.95,1,0,0,0,0,0,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,0,0,0,0,0,0,0.0,1,2,1,1,1,6,0,60,7,7,60,0,,0,,22,0,2,2,37,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer
11,12,Manuel Akanji,SUI,DF,Manchester City,28,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,9,1,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,1,0,0.0,0.33,0.0,0.0,,26.9,0,0.03,0.0,0.0,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,244,268,91.0,3691,889,129,133,97.0,99,108,91.7,7,14,50.0,0.2,-0.1,1,12,0,0,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,5,1.67,5,0,0,0,0,2,0.67,2,0,0,0,0,0,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,6,3,1,4,1,4,57.1,3,4,2,3,9,7,0,291,21,2,291,0,,0,,181,0,0,0,234,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
12,13,Nathan Aké,NED,DF,Manchester City,28,1995,3,3,258,2.9,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,3,11,2,0.35,0.0,0.35,0.35,0.35,0.14,0.0,0.14,0.14,0.14,Matches,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,3,1,33.3,1.05,0.35,0.33,1.0,8.1,0,0.13,0.6,0.6,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,228,246,92.7,3972,1051,90,96,93.8,116,122,95.1,12,17,70.6,0.0,0.0,0,8,0,0,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,4,1.4,3,0,0,0,0,1,0.35,0,0,0,1,0,0,https://fbref.com/en/players/eaeca114/Nathan-Ake,6,4,4,2,0,4,80.0,1,0,0,5,11,5,0,269,7,5,269,0,,0,,174,0,1,0,192,https://fbref.com/en/players/eaeca114/Nathan-Ake
