,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,532752,10,SavedShot,0.8930000305175781,0.32,0.059324927628040314,Marcus Rashford,h,556,OpenPlay,2023,RightFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Antony,Pass
1,532753,12,BlockedShot,0.794000015258789,0.655,0.019552553072571754,Alejandro Garnacho,h,10552,FromCorner,2023,RightFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,,None
2,532758,37,BlockedShot,0.9159999847412109,0.500999984741211,0.060597602277994156,Marcus Rashford,h,556,OpenPlay,2023,Head,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Aaron Wan-Bissaka,Chipped
3,532759,37,BlockedShot,0.7290000152587891,0.4179999923706055,0.016547512263059616,Bruno Fernandes,h,1228,OpenPlay,2023,LeftFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Antony,Pass
4,532760,41,MissedShots,0.8980000305175782,0.7240000152587891,0.045268017798662186,Alejandro Garnacho,h,10552,OpenPlay,2023,LeftFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Marcus Rashford,BallTouch
5,532761,45,BlockedShot,0.89,0.315,0.056723639369010925,Antony,h,11094,OpenPlay,2023,RightFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Aaron Wan-Bissaka,Pass
6,532762,46,BlockedShot,0.88,0.3609999847412109,0.08383027464151382,Marcus Rashford,h,556,OpenPlay,2023,RightFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Antony,Pass
7,532763,46,MissedShots,0.9209999847412109,0.514000015258789,0.10235649347305298,Raphael Varane,h,2245,FromCorner,2023,Head,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Bruno Fernandes,Cross
8,532767,50,BlockedShot,0.8590000152587891,0.500999984741211,0.06346779316663742,Antony,h,11094,OpenPlay,2023,LeftFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Bruno Fernandes,Cross
9,532768,51,BlockedShot,0.860999984741211,0.605,0.08149542659521103,Alejandro Garnacho,h,10552,OpenPlay,2023,LeftFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Casemiro,Pass
10,532769,52,BlockedShot,0.9419999694824219,0.3060000038146973,0.28685417771339417,Antony,h,11094,OpenPlay,2023,LeftFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Casemiro,Chipped
11,532772,58,MissedShots,0.815,0.6509999847412109,0.034532465040683746,Alejandro Garnacho,h,10552,OpenPlay,2023,LeftFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,,None
12,532776,75,Goal,0.9690000152587891,0.5109999847412109,0.789081335067749,Raphael Varane,h,2245,OpenPlay,2023,Head,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Aaron Wan-Bissaka,Aerial
13,532778,81,BlockedShot,0.8640000152587891,0.6129999923706054,0.12816749513149261,Marcus Rashford,h,556,OpenPlay,2023,LeftFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Jadon Sancho,TakeOn
14,532781,84,MissedShots,0.9690000152587891,0.455,0.1430738866329193,Facundo Pellistri,h,9324,OpenPlay,2023,RightFoot,22284,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14 19:00:00,Bruno Fernandes,Chipped
15,534210,15,BlockedShot,0.9030000305175782,0.645,0.08285962790250778,Odsonne Edouard,h,3697,OpenPlay,2023,RightFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Jeffrey Schlupp,Pass
16,534211,15,SavedShot,0.720999984741211,0.6509999847412109,0.016299840062856674,Eberechi Eze,h,8706,OpenPlay,2023,RightFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Jeffrey Schlupp,Pass
17,534212,20,BlockedShot,0.72,0.4370000076293945,0.017356693744659424,Eberechi Eze,h,8706,OpenPlay,2023,LeftFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Odsonne Edouard,Pass
18,534213,20,MissedShots,0.7519999694824219,0.34700000762939454,0.013605364598333836,Cheick Oumar Doucoure,h,8666,OpenPlay,2023,RightFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,,Rebound
19,534220,46,BlockedShot,0.8830000305175781,0.6120000076293945,0.11423774063587189,Eberechi Eze,h,8706,OpenPlay,2023,LeftFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,,None
20,534222,54,MissedShots,0.9469999694824218,0.26,0.039999496191740036,Jordan Ayew,h,672,OpenPlay,2023,RightFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Jefferson Lerma,Pass
21,534223,57,MissedShots,0.769000015258789,0.4809999847412109,0.08211032301187515,Eberechi Eze,h,8706,DirectFreekick,2023,RightFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,,Standard
22,534228,69,BlockedShot,0.914000015258789,0.4590000152587891,0.09450113028287888,Jordan Ayew,h,672,SetPiece,2023,RightFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Eberechi Eze,Cross
23,534229,85,MissedShots,0.915,0.5329999923706055,0.3232669234275818,Odsonne Edouard,h,3697,OpenPlay,2023,Head,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Tyrick Mitchell,Cross
24,534230,86,BlockedShot,0.889000015258789,0.2510000038146973,0.043321676552295685,Jesurun Rak-Sakyi,h,9461,OpenPlay,2023,LeftFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Jordan Ayew,TakeOn
25,534231,87,BlockedShot,0.97,0.675,0.06064928323030472,Jordan Ayew,h,672,OpenPlay,2023,LeftFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Tyrick Mitchell,Pass
26,534232,94,BlockedShot,0.9180000305175782,0.4620000076293945,0.046159155666828156,Cheick Oumar Doucoure,h,8666,OpenPlay,2023,Head,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Jesurun Rak-Sakyi,Aerial
27,534233,94,SavedShot,0.965,0.580999984741211,0.08803697675466537,Odsonne Edouard,h,3697,OpenPlay,2023,RightFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,Jefferson Lerma,HeadPass
28,534234,94,MissedShots,0.9269999694824219,0.6780000305175782,0.051525987684726715,Tyrick Mitchell,h,8214,OpenPlay,2023,LeftFoot,22294,Crystal Palace,Arsenal,0,1,2023-08-21 19:00:00,,Rebound
29,536786,2,Goal,0.8280000305175781,0.6680000305175782,0.030378812924027443,Dominik Szoboszlai,h,9788,FromCorner,2023,LeftFoot,21933,Liverpool,Aston Villa,3,0,2023-09-03 13:00:00,Trent Alexander-Arnold,Cross
30,536787,15,BlockedShot,0.904000015258789,0.69,0.06675733625888824,Luis Díaz,h,10408,OpenPlay,2023,RightFoot,21933,Liverpool,Aston Villa,3,0,2023-09-03 13:00:00,Trent Alexander-Arnold,Chipped
